uuid,design,event,data,timestamp
0e60-42ee-430f-92b5-7cef,Design 1,input-activity in coin description,"{'target': {'0': {'jQuery361076745980421778141': {'events': {'keyup': [{'type': 'keyup', 'origType': 'keyup', 'data': None, 'guid': 5, 'namespace': ''}], 'focus': [{'type': 'focus', 'origType': 'focus', 'guid': 33, 'namespace': False}, {'type': 'focus', 'origType': 'focus', 'guid': 32, 'namespace': ''}]}, 'focus': False}}, 'length': 1}}",2024-03-29T18:31:10.528Z
0e60-42ee-430f-92b5-7cef,Design 1,input-activity in coin description,"{'target': {'0': {'jQuery361076745980421778141': {'events': {'keyup': [{'type': 'keyup', 'origType': 'keyup', 'data': None, 'guid': 5, 'namespace': ''}], 'focus': [{'type': 'focus', 'origType': 'focus', 'guid': 33, 'namespace': False}, {'type': 'focus', 'origType': 'focus', 'guid': 32, 'namespace': ''}]}, 'focus': False}}, 'length': 1}}",2024-03-29T18:31:10.689Z
0e60-42ee-430f-92b5-7cef,Design 1,input-activity in coin description,"{'target': {'0': {'jQuery361076745980421778141': {'events': {'keyup': [{'type': 'keyup', 'origType': 'keyup', 'data': None, 'guid': 5, 'namespace': ''}], 'focus': [{'type': 'focus', 'origType': 'focus', 'guid': 33, 'namespace': False}, {'type': 'focus', 'origType': 'focus', 'guid': 32, 'namespace': ''}]}, 'focus': False}}, 'length': 1}}",2024-03-29T18:31:10.705Z
0e60-42ee-430f-92b5-7cef,Design 1,input-activity in coin description,"{'target': {'0': {'jQuery361076745980421778141': {'events': {'keyup': [{'type': 'keyup', 'origType': 'keyup', 'data': None, 'guid': 5, 'namespace': ''}], 'focus': [{'type': 'focus', 'origType': 'focus', 'guid': 33, 'namespace': False}, {'type': 'focus', 'origType': 'focus', 'guid': 32, 'namespace': ''}]}, 'focus': False}}, 'length': 1}}",2024-03-29T18:31:11.001Z
0e60-42ee-430f-92b5-7cef,Design 1,input-activity in coin description,"{'target': {'0': {'jQuery361076745980421778141': {'events': {'keyup': [{'type': 'keyup', 'origType': 'keyup', 'data': None, 'guid': 5, 'namespace': ''}], 'focus': [{'type': 'focus', 'origType': 'focus', 'guid': 33, 'namespace': False}, {'type': 'focus', 'origType': 'focus', 'guid': 32, 'namespace': ''}]}, 'focus': False}}, 'length': 1}}",2024-03-29T18:31:11.054Z
0e60-42ee-430f-92b5-7cef,Design 1,recommendations requested,{'query': 'Art'},2024-03-29T18:31:11.358Z
0e60-42ee-430f-92b5-7cef,Design 1,chose recommendation,"{'category': 'list_person', 'item_id': '0', 'side': 'reverse'}",2024-03-29T18:31:12.745Z
0e60-42ee-430f-92b5-7cef,Design 1,input-activity in coin description,"{'target': {'0': {'jQuery361076745980421778141': {'events': {'keyup': [{'type': 'keyup', 'origType': 'keyup', 'data': None, 'guid': 5, 'namespace': ''}], 'focus': [{'type': 'focus', 'origType': 'focus', 'guid': 33, 'namespace': False}, {'type': 'focus', 'origType': 'focus', 'guid': 32, 'namespace': ''}]}, 'focus': False}}, 'length': 1}}",2024-03-29T18:31:13.289Z
0e60-42ee-430f-92b5-7cef,Design 1,input-activity in coin description,"{'target': {'0': {'jQuery361076745980421778141': {'events': {'keyup': [{'type': 'keyup', 'origType': 'keyup', 'data': None, 'guid': 5, 'namespace': ''}], 'focus': [{'type': 'focus', 'origType': 'focus', 'guid': 33, 'namespace': False}, {'type': 'focus', 'origType': 'focus', 'guid': 32, 'namespace': ''}]}, 'focus': False}}, 'length': 1}}",2024-03-29T18:31:13.425Z
0e60-42ee-430f-92b5-7cef,Design 1,input-activity in coin description,"{'target': {'0': {'jQuery361076745980421778141': {'events': {'keyup': [{'type': 'keyup', 'origType': 'keyup', 'data': None, 'guid': 5, 'namespace': ''}], 'focus': [{'type': 'focus', 'origType': 'focus', 'guid': 33, 'namespace': False}, {'type': 'focus', 'origType': 'focus', 'guid': 32, 'namespace': ''}]}, 'focus': False}}, 'length': 1}}",2024-03-29T18:31:13.585Z
